SongNumber,Title,ArtistName,SearchStr,market
460426,Louise (Live),Bonnie Raitt,louise (live) bonnie raitt,fr
239419,Love Out Loud (Album Version),Jaci Velasquez,love out loud (album version) jaci velasquez,fr
571698,The Pulse (Hypno House Dub),Silicone Soul,the pulse (hypno house dub) silicone soul,us
81387,Hurracaine,Echo And The Bunnymen,hurracaine echo and the bunnymen,us
272507,You are too expensive for me,Burnshee Thornside,you are too expensive for me burnshee thornside,us
449904,Industrial Love,In Strict Confidence,industrial love in strict confidence,us
132793,Spoonful,Slo Leak,spoonful slo leak,us
456642,A Seperate Reality (LP Version),The Ocean Blue,a seperate reality (lp version) the ocean blue,us
600153,Fiesta,Cobblestone Jazz,fiesta cobblestone jazz,it
818516,Ja Ja Ja,Gregor Meyle,ja ja ja gregor meyle,us
842056,Changing Times,Scanners,changing times scanners,us
105672,TrainSing,Lake Trout,trainsing lake trout,us
147133,Muir Races To Work,Harry Gregson-Williams,muir races to work harry gregson-williams,us
757813,Everytime (Domestic Album Version),Simple Plan,everytime (domestic album version) simple plan,us
194606,Faith River,Chris Thile,faith river chris thile,us
933930,Army Band (LP Version),Black Uhuru,army band (lp version) black uhuru,us
519558,Burn Down,Ebola,burn down ebola,us
227717,Off My Grind,L C,off my grind l c,us
572089,Like A Rolling Stone,Medi & The Medicine Show,like a rolling stone medi & the medicine show,us
881684,Ooh_ Watcha Gonna Do,RUN-DMC,ooh_ watcha gonna do run-dmc,us
970082,En resa,Cornelis Vreeswijk,en resa cornelis vreeswijk,nl
307023,30 Pieces of Silver,Barry Brown,30 pieces of silver barry brown,us
991693,Oceans,Firewind,oceans firewind,us
644880,Santa Claus Retreat,Hot Tuna,santa claus retreat hot tuna,us
653829,Subside,First Night on Earth,subside first night on earth,us
47022,Yes We Are Original mix,Silicone Pumpgun,yes we are original mix silicone pumpgun,us
109986,Mazerfacker,La Chanson Du Dimanche,mazerfacker la chanson du dimanche,fr
723871,Another Day Another Night,Klubbingman feat. Beatrix Delgado,another day another night klubbingman feat. beatrix delgado,us
264405,Sun Ra Raga,Third Ear Band,sun ra raga third ear band,us
431002,I'll Be Home For Christmas,Hiroshima,i'll be home for christmas hiroshima,us
256351,Slip,Ultraspank,slip ultraspank,us
994000,Love Love Love,Spider Murphy Gang,love love love spider murphy gang,us
308603,Tu Quieres Volver,Gipsy Kings,tu quieres volver gipsy kings,us
532253,Dominator,Human Resource,dominator human resource,us
988854,Besoffen sein,Die Kassierer,besoffen sein die kassierer,us
149331,Concrete Steps,Tango,concrete steps tango,it
93742,"Excerpt from The Green Wedge""",Jello Biafra,"excerpt from the green wedge"" jello biafra",us
452970,Circulation,Jay Lumen,circulation jay lumen,fr
730605,Phantasai_ lieb' Phantasai!,Samsas Traum,phantasai_ lieb' phantasai! samsas traum,us
802951,Bésame Mucho,Michel Camilo / Tomatito,bésame mucho michel camilo / tomatito,it
810952,Born Wild,Electric Frankenstein,born wild electric frankenstein,us
283760,Tennessee Waltz,ERSKINE HAWKINS,tennessee waltz erskine hawkins,us
425032,What Will You Do When I'm Gone,Mike And The Mechanics,what will you do when i'm gone mike and the mechanics,us
226060,I'm Beginning To See The Light,Finale,i'm beginning to see the light finale,us
121719,Saudades,Hacienda,saudades hacienda,es
153149,Blood River,On Trial,blood river on trial,us
729242,Golgota (entre dos ladrones),Gabinete Caligari,golgota (entre dos ladrones) gabinete caligari,es
325660,In This Windy Old Weather,The Clancy Brothers;Tommy Makem,in this windy old weather the clancy brothers;tommy makem,us
879791,Hard Lies (Album Version),Barren Cross,hard lies (album version) barren cross,us
997154,La La La,Souls Of Mischief,la la la souls of mischief,fr
466029,O.A.O,Bill Laswell,o.a.o bill laswell,us
358657,Not So (Rudy Van Gelder 24Bit Mastering) (2003 Digital Remaster),Andrew Hill,not so (rudy van gelder 24bit mastering) (2003 digital remaster) andrew hill,us
107805,Sophisticated Lady,Cliff Adams,sophisticated lady cliff adams,us
361834,Street Chronicles (Cali Quake Album Version),Raphi,street chronicles (cali quake album version) raphi,us
404839,Sunrise Zikr,Mercan Dede,sunrise zikr mercan dede,nl
54589,Man On My Back,Hawnay Troof,man on my back hawnay troof,us
752912,Love Your Family (Feat. Havoc),Cormega,love your family (feat. havoc) cormega,us
392840,C'Est Mon Histoire,Nana Mouskouri,c'est mon histoire nana mouskouri,fr
415385,Big Deal,One Dimensional Man,big deal one dimensional man,it
561915,Cats'n'Cars,Phonique,cats'n'cars phonique,fr
197400,Water From A Vine Leaf,William Orbit,water from a vine leaf william orbit,us
274747,Intro,Soulja Boy Tell'em,intro soulja boy tell'em,us
23578,House Of Broken Dreams  (LP Version),Crosby_ Stills & Nash,house of broken dreams  (lp version) crosby_ stills & nash,us
90902,Never Alone,Sebastian Brandt,never alone sebastian brandt,us
276681,Stompin' At Thesavoy,Art Tatum,stompin' at thesavoy art tatum,us
562968,Nighttime [Demo],Big Star,nighttime [demo] big star,it
885340,No More Mr. Nice Guy,Alice Cooper,no more mr. nice guy alice cooper,it
32070,Hunter's Heart,Paul Cardall,hunter's heart paul cardall,us
699172,De Doelman,De Kreuners,de doelman de kreuners,nl
977453,Return to Your Ship,Boston Spaceships,return to your ship boston spaceships,us
421706,Mellow Peaches,Tav Falco & The Unapproachable Panther Burns,mellow peaches tav falco & the unapproachable panther burns,us
594932,Blue Moon,Ella Fitzgerald,blue moon ella fitzgerald,us
30837,Take It To The Limit (Live Millennium Concert Version),Eagles,take it to the limit (live millennium concert version) eagles,us
621040,Quicktime,Das Oath,quicktime das oath,pt
878668,Disaffectted,Meow Meow,disaffectted meow meow,us
910406,NENA,Hazard,nena hazard,us
126785,Sound of the City (Dogmatix Radio Edit),Kathy Brown_ White Knights,sound of the city (dogmatix radio edit) kathy brown_ white knights,us
994122,Jardin De Cecile,Juno Reactor,jardin de cecile juno reactor,us
332687,Are You Putting Me On The Shelf,Don & Juan,are you putting me on the shelf don & juan,us
496518,Frank's Tavern,Chris Gaffney and the Cold Hard Facts,frank's tavern chris gaffney and the cold hard facts,us
980093,Wedding Song,Tiger Lillies,wedding song tiger lillies,us
796834,The Law,Close Shave,the law close shave,us
684490,Cash In My Pocket ft Daniel Merriweather,Wiley,cash in my pocket ft daniel merriweather wiley,us
316372,Teutonic Witch,Reverend Bizarre,teutonic witch reverend bizarre,us
592404,It's All The Same To Me,Billy Ray Cyrus,it's all the same to me billy ray cyrus,us
516764,The Price We Pay (Album Version),A Day To Remember,the price we pay (album version) a day to remember,us
352322,Poor Memory,The Rockwells,poor memory the rockwells,us
793725,Up For Sale,The (International) Noise Conspiracy,up for sale the (international) noise conspiracy,us
721727,Meiplé,Robin Thicke / Jay-Z,meiplé robin thicke / jay-z,us
382931,Zamba Del Cielo,Fito Paez,zamba del cielo fito paez,es
68751,Lets Groove,Sunlightsquare,lets groove sunlightsquare,fr
914031,Into This World,Dance With A Stranger,into this world dance with a stranger,us
64427,Greeny Green,Goodie MoB feat. Witchdoctor,greeny green goodie mob feat. witchdoctor,us
175248,Farley Knows House,Farley 'Jackmaster' Funk,farley knows house farley 'jackmaster' funk,us
209163,Fer L'amaur,Pierangelo Bertoli,fer l'amaur pierangelo bertoli,us
195778,Edward Is Dedward,Emmy The Great,edward is dedward emmy the great,us
835156,Not So Tough,Willie Barcena,not so tough willie barcena,us
943592,Prelude,Jesper Kyd,prelude jesper kyd,us
389188,Hardluck,Torn Apart,hardluck torn apart,us
722513,Smoke Dreams Of You,Bryan Ferry,smoke dreams of you bryan ferry,us
898016,Ice Night (feat. Flavia Vallega_ Mike Melillo_ Fabio Jegher),Roberta Gambarini_ Italian Vocal Ensemble,ice night (feat. flavia vallega_ mike melillo_ fabio jegher) roberta gambarini_ italian vocal ensemble,us
922966,The Reason Why,Rachael Yamagata;Malcolm Burn,the reason why rachael yamagata;malcolm burn,us
894936,Pump It,Black Eyed Peas,pump it black eyed peas,us
611566,Latitude,Paul Blackford,latitude paul blackford,us
533925,Whistle & Flute,Pyrelli,whistle & flute pyrelli,us
351756,Take The Weight Of My Hand  (Produced By Evidence),Defari,take the weight of my hand  (produced by evidence) defari,us
930163,Luna Blanca,Estela Nuñez,luna blanca estela nuñez,es
395993,No One Knew Where We Were,Midlake,no one knew where we were midlake,us
919344,Ain't That Right,Floyd Dixon,ain't that right floyd dixon,us
4454,Pudo Ser Un Gran Amor,Alberto Plaza,pudo ser un gran amor alberto plaza,es
704902,Take These Tears,David Readman,take these tears david readman,us
868968,Snake Soup,Rabih Abou-Khalil,snake soup rabih abou-khalil,us
448032,Don't Throw Away My Love,Selena,don't throw away my love selena,us
100607,Black Hole Sun,Bobo in White Wooden Houses / Will Malone,black hole sun bobo in white wooden houses / will malone,us
804694,Who Is Not On Death Row?,Mumia Abu-Jamal,who is not on death row? mumia abu-jamal,us
834427,Je N Oublierai Jamais,Partenaire Particulier,je n oublierai jamais partenaire particulier,fr
798174,Theme From How The West Was Won,101 Strings Orchestra,theme from how the west was won 101 strings orchestra,us
611075,Wir wollen alle nur das eine (Remix),Quasi,wir wollen alle nur das eine (remix) quasi,us
730216,Sundown (Previously Unreleased),Eastman,sundown (previously unreleased) eastman,us
17564,Superman  (Shimmer Album Version),Luna Halo,superman  (shimmer album version) luna halo,it
67415,Perfect World,Reed Foehl,perfect world reed foehl,us
525044,Sweat,Afrika Bambaataa and Family,sweat afrika bambaataa and family,us
375542,Toyota,Tabu Ley Rochereau,toyota tabu ley rochereau,us
824432,Twistin' In The Rain,Los Straitjackets & The World Famous Pon,twistin' in the rain los straitjackets & the world famous pon,us
333564,Icicle Rain,Claire Hamill,icicle rain claire hamill,fr
920689,Fa Vint Anys Que Tinc Vint Anys,Serrat & Sabina,fa vint anys que tinc vint anys serrat & sabina,us
830621,When The Bells Don't Chime,Brian Setzer,when the bells don't chime brian setzer,us
644584,Habanera,Gloria,habanera gloria,es
406259,Ti amo da morire...,Viva Voce,ti amo da morire... viva voce,it
330215,You No Se,Pajama Party,you no se pajama party,us
623206,Somebody Help Me,The Litter,somebody help me the litter,us
335163,Young Blood,Condemned 84,young blood condemned 84,us
541856,Amazing Grace (My Chains Are Gone),Chris Tomlin,amazing grace (my chains are gone) chris tomlin,us
299191,Jedno Z Takich Miejsc,Vienio & Pele,jedno z takich miejsc vienio & pele,us
820750,Ride,Virgo,ride virgo,us
237611,Men Cry Too,The Manhattans feat. Gerald Alston & Blue Lovett,men cry too the manhattans feat. gerald alston & blue lovett,us
909107,Through The Trees,Mount Eerie,through the trees mount eerie,us
371694,Circular Flexing (Yee-King Mix),Squarepusher,circular flexing (yee-king mix) squarepusher,us
261952,When You Walk In The Room,FLASH & THE PAIN feat. Toby Templer,when you walk in the room flash & the pain feat. toby templer,us
712003,Fuga,Elan,fuga elan,es
618779,Bear Cat Papa Blues,Gene Autry,bear cat papa blues gene autry,us
679462,River Deep_ Mountain High,Neil Diamond,river deep_ mountain high neil diamond,us
443404,There'll Be Some Changes Made,Chet Atkins & Mark Knopfler,there'll be some changes made chet atkins & mark knopfler,us
903531,Pancho Villa,Lighter Shade of Brown,pancho villa lighter shade of brown,us
166780,Ten Years Asleep (Live),Kingmaker,ten years asleep (live) kingmaker,us
922640,Yawning Zeitgeist Intro,Busdriver,yawning zeitgeist intro busdriver,us
185569,Ou Sé Soleil,DJ Mike,ou sé soleil dj mike,fr
995830,The City (Album Version),Templars,the city (album version) templars,us
490645,Angel Domain,Godflesh,angel domain godflesh,us
941520,Wanted Man,Emir Kusturica & The No Smoking Orchestra,wanted man emir kusturica & the no smoking orchestra,us
220247,Fire Works,Bilge Pump,fire works bilge pump,us
826417,Faster Gun,Aztec Two-Step,faster gun aztec two-step,us
762143,Innocent (live),Threshold,innocent (live) threshold,us
830016,Death Go Away,Garnett Silk,death go away garnett silk,us
929860,The Way She Moves,Zion / Akon,the way she moves zion / akon,us
716429,Domey Nachiye,Tigerstyle,domey nachiye tigerstyle,us
317461,Disconnected,Shy Child,disconnected shy child,us
985198,Til Then (reprise),J.,til then (reprise) j.,us
874748,Night Is Calling,Perfect Piano Lesson,night is calling perfect piano lesson,us
42233,Loveland,The B-52's,loveland the b-52's,us
412335,Moon God,Test,moon god test,us
190793,Just An Excuse (Demo),Guadalcanal Diary,just an excuse (demo) guadalcanal diary,es
265229,In Search Of The Lost Cause (Original Hard Trance Mix),Frankie Bones,in search of the lost cause (original hard trance mix) frankie bones,us
529174,Guola Dance #1,Men and Women of Lambussie,guola dance #1 men and women of lambussie,us
93488,Train Away,Patrick Doyle,train away patrick doyle,us
335754,What He Say,Ministry,what he say ministry,us
798693,The Hawk Talks,Duke Ellington Quartet,the hawk talks duke ellington quartet,us
569471,Tuesday,Hell On Wheels,tuesday hell on wheels,us
123954,Garden Constellations,July Skies,garden constellations july skies,us
581174,Seminatori di grano,Gianmaria Testa,seminatori di grano gianmaria testa,it
856466,Reminder,Goldheart Assembly,reminder goldheart assembly,us
816813,Anima Mundi,The Last Atlant,anima mundi the last atlant,us
931490,Un Dia Especial,Dora The Explorer,un dia especial dora the explorer,es
902828,Stamina,Ion,stamina ion,it
155213,No Ordinary Love (Kayu vs. Albert Remix),Sherrie Lea,no ordinary love (kayu vs. albert remix) sherrie lea,us
920674,Brechdanau Tywod,Datblygu,brechdanau tywod datblygu,us
782221,Don't Jump To Conclusions,Annette Funicello,don't jump to conclusions annette funicello,fr
565518,Baby Won't You Please Come Home,Juanita Hall,baby won't you please come home juanita hall,us
35647,In The Name Of Love,Rick Astley,in the name of love rick astley,us
6951,Blues De La Frontera,Pata Negra,blues de la frontera pata negra,us
654037,Killalady,Justine Electra,killalady justine electra,us
686453,You Can't Have My Heart,Joe Cocker,you can't have my heart joe cocker,us
166270,Señores Del Jurado,La Polla Records,señores del jurado la polla records,es
345622,Rainbow Country,Bob Marley,rainbow country bob marley,us
574253,Stillness,Shadows Fall,stillness shadows fall,us
52385,Kensal caracas street,Arnaud Le Texier & Delete (aka Sergio Munoz),kensal caracas street arnaud le texier & delete (aka sergio munoz),es
680658,Copperfields (LP Version),The Dillards,copperfields (lp version) the dillards,us
405429,Still Three Shy,The Pink Spiders,still three shy the pink spiders,us
8642,Geef Me De Kracht (edit),Gordon,geef me de kracht (edit) gordon,nl
438961,Spit It,Dubee (AKA Sugawolf),spit it dubee (aka sugawolf),us
273417,Wake up,Stereotypical Working Class,wake up stereotypical working class,us
883930,Main Title,Angelo Badalamenti,main title angelo badalamenti,us
990508,Mexico City,Tony Christie,mexico city tony christie,us
122136,Gotta Be Strong,Steve Hill,gotta be strong steve hill,us
995984,Une passion : Elle ne répondit rien...,Miou Miou,une passion : elle ne répondit rien... miou miou,fr
456712,Soldiers Of Misfortune,Filter,soldiers of misfortune filter,us
616187,Tears,Robbie Dupree,tears robbie dupree,us
581608,Yes I See (LP Version),Bob Gibson,yes i see (lp version) bob gibson,us
808258,Rub the Sleep Out,Souls She Said,rub the sleep out souls she said,us
182807,Happy Feet,Dorothy Squires,happy feet dorothy squires,us
495046,You Were Made For Me,Sam Cooke,you were made for me sam cooke,us
840693,The Mark,Overkill,the mark overkill,us
72216,I Loved London,The Real Tuesday Weld,i loved london the real tuesday weld,us
618868,The Gin House Blues,Bessie Smith,the gin house blues bessie smith,us
533871,Available,Moving Units,available moving units,fr
372948,Moguer_ auroras de Moguer,Carmen Linares,moguer_ auroras de moguer carmen linares,es
859130,Smile,Duderstadt & Anita Kelsey,smile duderstadt & anita kelsey,us
142774,Colonial Man,Hugh Masekela,colonial man hugh masekela,us
200338,Heather I'm Dry (Anol Edit),Dolby Anol,heather i'm dry (anol edit) dolby anol,us
49514,Mentaloide,Cristian Varela,mentaloide cristian varela,it
959457,Now That You're Gone (Bonus Beats),Mike Dunn,now that you're gone (bonus beats) mike dunn,us
